,FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime,exists_in_netfile
93,06_55C0409,Bridge,-117.9598667,33.79771944,1963,2,3.0,6.7,18.2,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.75571426,144.7416258,No Damage,0.0,0,0
94,06_55C0410,Bridge,-117.95335279999999,33.79773889,1963,2,3.0,6.7,18.2,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.72044816,145.6522697,No Damage,0.0,0,0
95,06_55C0411,Bridge,-117.94955829999999,33.79775833,1963,2,3.0,6.7,18.2,0,2-span;0.0 deg skew;6.7 m structure Length;3 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.71328809,145.8381231,No Damage,0.0,0,0
96,06_55C0412,Bridge,-117.9380361,33.79895,1963,2,4.5,10.1,18.2,53,2-span;53.0 deg skew;10.1 m structure Length;4.5 m Max Span Length; Built 1963;NBI 119,119,HWB5,Unknown,760,11.64243516,147.6950084,No Damage,0.0,0,0
97,06_55C0469,Bridge,-117.8562528,33.84965556,1960,3,4.3,23.8,35.7,45,3-span;45.0 deg skew;23.8 m structure Length;4.3 m Max Span Length; Built 1960;NBI 119,119,HWB5,Unknown,760,11.06693294,164.0535003,No Damage,0.0,0,1
98,06_55C0672,Bridge,-117.92227779999999,33.81624444,2000,13,7.9,103.0,10.1,0,13-span;0.0 deg skew;103.0 m structure Length;7.9 m Max Span Length; Built 2000;NBI 201,201,HWB11,MCRC-Slab,760,10.20937603,193.3443852,No Damage,0.0,0,1
99,06_55C0508,Bridge,-117.7529139,33.87621667,1981,5,23.8,97.8,24.4,99,5-span;99.0 deg skew;97.8 m structure Length;23.8 m Max Span Length; Built 1981;NBI 602,602,HWB22,Unknown,760,18.92183222,52.91263443,No Damage,0.0,0,0
100,06_55C0510,Bridge,-117.8167,33.85478889,1970,6,21.9,121.6,24.4,2,6-span;2.0 deg skew;121.6 m structure Length;21.9 m Max Span Length; Built 1970;NBI 204,204,HWB10,Unknown,760,13.91208751,101.35837049999999,No Damage,0.0,0,0
101,06_55C0511,Bridge,-117.80538329999999,33.80980278,1982,1,6.4,6.7,0.0,0,1-span;0.0 deg skew;6.7 m structure Length;6.4 m Max Span Length; Built 1982;NBI 319,319,HWB3,Unknown,760,16.96803621,66.41097967,No Damage,0.0,0,0
102,06_55C0515,Bridge,-117.97831940000002,33.83206944,1959,2,3.8,8.5,29.0,14,2-span;14.0 deg skew;8.5 m structure Length;3.8 m Max Span Length; Built 1959;NBI 119,119,HWB5,Unknown,760,8.830495107,257.0352586,No Damage,0.0,0,1
